Country,Wave3,Wave4,Wave5,Wave6
Afghanistan,0.02,0.02,0.03,0.03
Albania,6.68,6.68,7.29,7.29
Algeria,0.96,0.96,0.69,0.69
Andorra,15.48,15.48,10.17,10.17
Angola,5.4,5.4,5.57,5.57
Antigua and Barbuda,7.22,7.22,8.17,8.17
Argentina,10,10,9.35,9.35
Armenia,11.35,11.35,13.66,13.66
Australia,10.02,10.02,10.21,10.21
Austria,13.24,13.24,12.4,12.4
Azerbaijan,10.6,10.6,13.34,13.34
Bahamas,8.76,8.76,8.65,8.65
Bahrain,3.66,3.66,4.19,4.19
Bangladesh,0.17,0.17,0.17,0.17
Barbados,6.91,6.91,6.42,6.42
Belarus,15.13,15.13,18.85,18.85
Belgium,10.77,10.77,10.41,10.41
Belize,6.07,6.07,5.92,5.92
Benin,2.15,2.15,2.08,2.08
Bhutan,0.55,0.55,0.54,0.54
Bolivia,5.12,5.12,5.78,5.78
Bosnia and Herzegovina,9.63,9.63,9.6,9.6
Botswana,7.96,7.96,6.97,6.97
Brazil,9.16,9.16,10.08,10.08
Brunei,2.01,2.01,1.86,1.86
Bulgaria,12.44,12.44,11.4,11.4
Burkina Faso,6.98,6.98,7.32,7.32
Burundi,9.47,9.47,9.65,9.65
Cambodia,4.77,4.77,4.71,4.71
Cameroon,7.57,7.57,7.9,7.9
Canada,9.77,9.77,10.2,10.2
Cape Verde,4.96,4.96,4.98,4.98
Central African Republic,3.35,3.35,3.17,3.17
Chad,4.38,4.38,4.39,4.39
Chile,8.55,8.55,8.81,8.81
China,5.91,5.91,5.56,5.56
Colombia,6.17,6.17,6.59,6.59
Comoros,0.36,0.36,0.28,0.28
Congo [DRC],3.3,3.3,3.39,3.39
Congo [Republic],4.2,4.2,4.46,4.46
Cook Islands,3.7,3.7,3.23,3.23
Costa Rica,5.55,5.55,5.81,5.81
Côte d'Ivoire,6.48,6.48,6.47,6.47
Croatia,15.11,15.11,15,15
Cuba,5.51,5.51,5.12,5.12
Cyprus,9.26,9.26,8.84,8.84
Czech Republic,16.45,16.45,16.47,16.47
Denmark,13.37,13.37,12.02,12.02
Djibouti,1.87,1.87,1.87,1.87
Dominica,7.84,7.84,8.68,8.68
Dominican Republic,6.41,6.41,6.28,6.28
Ecuador,9.38,9.38,9.43,9.43
Egypt,0.37,0.37,0.32,0.32
El Salvador,3.61,3.61,3.99,3.99
Equatorial Guinea,6.08,6.08,6.12,6.12
Eritrea,1.54,1.54,1.64,1.64
Estonia,15.57,15.57,17.24,17.24
Ethiopia,4.02,4.02,4.1,4.1
Fiji,2.43,2.43,2.76,2.76
Finland,12.52,12.52,13.1,13.1
France,13.66,13.66,12.48,12.48
Gabon,9.32,9.32,9.46,9.46
Gambia,3.39,3.39,3.58,3.58
Georgia,6.4,6.4,6.66,6.66
Germany,12.81,12.81,12.14,12.14
Ghana,2.97,2.97,3.11,3.11
Greece,10.75,10.75,11.01,11.01
Grenada,10.35,10.35,10.71,10.71
Guatemala,4.03,4.03,7.1,7.1
