Country,1,2,3,4,5,6,7,8,9,10
TOTAL,3.5,2.4,4.6,5.5,13.4,11.3,16,19.6,10,12.4
Andorra,0.5,0.4,1.3,2.5,12.5,13.3,23.1,29.7,9.9,6.7
Argentina,1.2,0.7,2,1.4,7.3,5.3,18.8,26.6,13.4,22.5
Australia,1.2,1.3,2.1,2.8,8,8.5,21.7,32.1,13.3,8.1
Brazil,1.9,0.9,1.4,2.2,10.9,8.6,12.4,23.8,13.4,24.3
Bulgaria,5.8,6.6,11.3,11.6,18.7,11,14.9,8,4.8,2.8
Canada,0.5,0.7,1,1.8,5.9,7.8,16.2,34,17.1,14.4
Chile,1,0.3,2.8,6.1,12.6,12.8,15.8,19.9,12.8,15.1
China,4.5,2.9,4.2,3.8,10.4,15,12.1,21.6,9.2,14.3
Taiwan,2.8,1.5,3.4,4.2,17.3,16.8,17.7,21.4,5.7,9.1
Colombia,1.5,0.7,0.7,1.3,5.7,5.2,11,19.9,16,37.9
Cyprus,2.4,0.7,1.7,3.4,7.5,9.6,19.1,27.6,15,13
Ethiopia,3.3,7.2,16.6,13.3,17,18.7,13.1,5.7,2.7,1.5
Finland,0.8,1.7,1.7,2.3,3.8,3.3,13,34.7,29.1,9.6
France,1.3,0.9,3.9,4.1,13.2,10.6,21.8,26.6,10.8,6.7
Georgia,8.5,6.1,10.3,13.6,25.1,10.7,10.7,7.4,1.7,4.3
Germany,0.7,1.1,3.2,4.4,11,9.6,18.7,27.9,15.7,6.8
Ghana,6.3,5.5,7.6,10.2,7.4,11.8,14.4,17.8,7.8,10.7
Guatemala,0.9,1.2,2.7,2.1,6.8,8.3,12.7,17.3,16.9,30.8
Hong Kong,1.8,1.8,3.9,6.2,15.3,21.7,18.8,17.7,6.8,5.4
Hungary,2.9,2.5,9.1,10.5,18.5,14.7,15.5,15.3,6.2,4.3
India,3.5,0,15.4,0,41,0,21.8,0,0,15.8
Indonesia,2.9,1.1,2.3,3.2,14.7,12.7,17.8,18.5,7.9,13.6
Iran,3.8,3.9,4.4,6.7,17,13.6,14.4,14.8,8.6,12.7
Iraq,17.2,8.2,8.6,11.8,22.8,11.5,7.7,5.5,2.3,3.3
Italy,1.2,1,1.6,4.6,9.2,18,27.7,21.3,8.3,6.5
Japan,0.9,1.1,3.7,3.5,8.4,15.6,20,27.5,13.3,4.6
Jordan,9.5,1.8,1.7,2.8,12.1,6.9,10.3,15.3,8.9,30.4
South Korea,2.2,1.3,4.8,8.3,14.2,16.4,22.9,18.9,7.2,3.6
Malaysia,1.4,0.7,2.3,3.4,12.1,19.2,23.9,22.1,7.7,7.2
Mali,7.4,2,5.1,6.2,21.4,10,12,9.6,6.3,13.2
Mexico,2.5,0.6,1,1.2,5.5,3.8,7.5,24.4,16.4,34
Moldova,4.4,6.6,9.5,14.3,16.4,14.4,12.5,12.1,6.3,2.9
Morocco,2.2,2.6,9.6,16.2,31.1,17.2,10.8,4.8,1.8,3.3
Netherlands,0.1,0.3,0.4,1.3,3.3,7.9,22.6,40.2,14.3,9.6
New Zealand,0.7,0.8,1.7,2.1,5.2,7,15.6,23.5,19.1,21.4
Norway,0.7,0.3,0.7,1.2,4.6,5,13.9,37.8,23.9,11.9
Peru,2,1.6,3.8,4.8,12.8,11,18.5,18.5,7.5,18.8
Poland,1.4,1.5,3.5,3.6,14.6,11.9,15,23.6,11.3,12.6
Romania,5.2,4.6,9.2,8.1,15.9,10.1,13.9,16,6,4.3
Russia,5.9,3.9,5.1,7.9,18.1,10.5,15.3,16.9,6.7,8.7
Rwanda,6,9.7,9,11,24.2,19.8,8.1,6.4,3.5,1.9
Viet Nam,0.4,0.7,2.7,4.1,10.9,19.2,18.6,19.5,9.2,13.8
Slovenia,1,0.6,1.8,2.4,16.1,11.8,16.7,23.1,10,16.1
South Africa,3.5,2.6,3.5,5.3,10.1,11.2,14.2,18.1,13.7,17.4
Spain,0.3,0.2,1.4,2,7,13.7,26.9,28.2,14.2,5.8
Sweden,0.5,0.5,1.6,2.1,4.4,6.1,18.8,36.3,17.9,11.6
Switzerland,0.5,0.5,0.9,1.2,4.5,5.5,13,36.3,19.9,17.1
Thailand,0.8,0.7,2.3,3.5,8.9,14.1,20,28,11.2,10.3
Trinidad and Tobago,3.1,0.7,1,2.7,11.4,12.4,18,20.7,8.1,21.6
Turkey,2.9,1.3,3.6,2.8,5.4,9.9,17.3,21.2,15.1,20.6
Ukraine,5.1,5.6,11.5,7.9,14.6,14.6,15.4,14,6.5,4.2
Egypt,10.3,4.1,7.7,8.4,16.6,10.3,14,12.2,5.4,11
United Kingdom,0.8,0.2,1,1.6,6.6,9.4,20.5,33.3,15.4,10.9
United States,0.5,0.9,2,3.9,7.3,9.6,22.9,28.1,17.5,6.7
Burkina Faso,3.6,4.6,6.7,12.1,26,15.2,11.1,8.2,3.1,7
Uruguay,1.9,0.2,1.2,1.9,7.6,12.5,21.8,24.5,11.5,16.2
Serbia and Montenegro,2.5,4.3,6.9,8,14.5,13.9,21.5,17.2,4.4,3.1
Zambia,7.1,3.5,5.9,7.6,13.6,12.6,16.6,15.3,6.6,8.7
