source,target,value
Aldor,IVIS,7
Aldor,Stats,3
Aldor,Math,3
Aldor,Art,9
Aldor,User,6
Aldor,Prog,2
Aldor,Graphics,1
Aldor,HCI,4
Aldor,UX,8
Aragorn,IVIS,5
Aragorn,Stats,4
Aragorn,Math,3
Aragorn,Art,6
Aragorn,User,7
Aragorn,Prog,3
Aragorn,Graphics,1
Aragorn,HCI,4
Aragorn,UX,8
Arwen,IVIS,3
Arwen,Stats,3
Arwen,Math,3
Arwen,Art,3
Arwen,User,8
Arwen,Prog,8
Arwen,Graphics,3
Arwen,HCI,3
Arwen,UX,3
Balin,IVIS,3
Balin,Stats,4
Balin,Math,4
Balin,Art,6
Balin,User,8
Balin,Prog,2
Balin,Graphics,1
Balin,HCI,2
Balin,UX,7
Bereg,IVIS,3
Bereg,Stats,5
Bereg,Math,6
Bereg,Art,8
Bereg,User,6
Bereg,Prog,3
Bereg,Graphics,5
Bereg,HCI,3
Bereg,UX,5
Bifur,IVIS,4
Bifur,Stats,4
Bifur,Math,5
Bifur,Art,6
Bifur,User,10
Bifur,Prog,7
Bifur,Graphics,7
Bifur,HCI,6
Bifur,UX,7
Bilbo,IVIS,6
Bilbo,Stats,5
Bilbo,Math,8
Bilbo,Art,7
Bilbo,User,8
Bilbo,Prog,7
Bilbo,Graphics,7
Bilbo,HCI,7
Bilbo,UX,8
Bofur,IVIS,4
Bofur,Stats,4
Bofur,Math,6
Bofur,Art,5
Bofur,User,7
Bofur,Prog,7
Bofur,Graphics,3
Bofur,HCI,3
Bofur,UX,2
Bombadil,IVIS,4
Bombadil,Stats,6
Bombadil,Math,6
Bombadil,Art,2
Bombadil,User,6
Bombadil,Prog,5
Bombadil,Graphics,1
Bombadil,HCI,5
Bombadil,UX,8
Bombur,IVIS,1
Bombur,Stats,4
Bombur,Math,5
Bombur,Art,10
Bombur,User,7
Bombur,Prog,4
Bombur,Graphics,2
Bombur,HCI,3
Bombur,UX,6
Borin,IVIS,2
Borin,Stats,4
Borin,Math,2
Borin,Art,6
Borin,User,6
Borin,Prog,2
Borin,Graphics,1
Borin,HCI,4
Borin,UX,10
Boromir,IVIS,3
Boromir,Stats,5
Boromir,Math,5
Boromir,Art,1
Boromir,User,7
Boromir,Prog,8
Boromir,Graphics,2
Boromir,HCI,6
Boromir,UX,5
Bounder,IVIS,3
Bounder,Stats,9
Bounder,Math,9
Bounder,Art,3
Bounder,User,10
Bounder,Prog,10
Bounder,Graphics,3
Bounder,HCI,3
Bounder,UX,9
Celeborn,IVIS,7
Celeborn,Stats,6
Celeborn,Math,5
Celeborn,Art,6
Celeborn,User,8
Celeborn,Prog,4
Celeborn,Graphics,1
Celeborn,HCI,6
Celeborn,UX,7
Damrod,IVIS,3
Damrod,Stats,2
Damrod,Math,5
Damrod,Art,6
Damrod,User,7
Damrod,Prog,1
Damrod,Graphics,2
Damrod,HCI,3
Damrod,UX,8
Deagol,IVIS,1
Deagol,Stats,3
Deagol,Math,3
Deagol,Art,5
Deagol,User,8
Deagol,Prog,5
Deagol,Graphics,1
Deagol,HCI,1
Deagol,UX,2
Denethor,IVIS,7
Denethor,Stats,8
Denethor,Math,6
Denethor,Art,2
Denethor,User,8
Denethor,Prog,9
Denethor,Graphics,6
Denethor,HCI,3
Denethor,UX,6
Dorlas,IVIS,4
Dorlas,Stats,4
Dorlas,Math,4
Dorlas,Art,6
Dorlas,User,5
Dorlas,Prog,4
Dorlas,Graphics,1
Dorlas,HCI,5
Dorlas,UX,6
Dwalin,IVIS,3
Dwalin,Stats,3
Dwalin,Math,6
Dwalin,Art,7
Dwalin,User,7
Dwalin,Prog,6
Dwalin,Graphics,1
Dwalin,HCI,5
Dwalin,UX,5
Eldarion,IVIS,3
Eldarion,Stats,4
Eldarion,Math,9
Eldarion,Art,8
Eldarion,User,8
Eldarion,Prog,3
Eldarion,Graphics,2
Eldarion,HCI,8
Eldarion,UX,9
Elendil,IVIS,5
Elendil,Stats,3
Elendil,Math,5
Elendil,Art,6
Elendil,User,7
Elendil,Prog,7
Elendil,Graphics,4
Elendil,HCI,6
Elendil,UX,5
Elendur,IVIS,3
Elendur,Stats,3
Elendur,Math,5
Elendur,Art,2
Elendur,User,7
Elendur,Prog,5
Elendur,Graphics,2
Elendur,HCI,6
Elendur,UX,9
Elrond,IVIS,3
Elrond,Stats,10
Elrond,Math,8
Elrond,Art,1
Elrond,User,6
Elrond,Prog,9
Elrond,Graphics,4
Elrond,HCI,3
Elrond,UX,3
Eomer,IVIS,7
Eomer,Stats,9
Eomer,Math,7
Eomer,Art,3
Eomer,User,9
Eomer,Prog,8
Eomer,Graphics,7
Eomer,HCI,6
Eomer,UX,1
Eothain,IVIS,5
Eothain,Stats,5
Eothain,Math,7
Eothain,Art,4
Eothain,User,9
Eothain,Prog,9
