Country,Very much like me,Like me,Somewhat like me,A little like me,Not like me,Not at all like me,No answer,Don´t know
TOTAL,15.6,23.9,22.1,16.3,13.9,5.1,1,1.9
Andorra,4.5,16.3,24.4,29.3,18.2,7,0.3,0.1
Argentina,5.1,23.5,16.7,22.5,19,9.7,0.8,2.7
Australia,5.8,13.1,20.9,22.8,27.2,8.4,1.9,0
Brazil,8.7,28.1,20,13,24,6,0.1,0.1
Bulgaria,8.9,18.1,25.3,17,18.2,7.3,0.2,4.9
Canada,11.6,22.1,21.8,18.9,20.4,4.6,0.2,0.4
Chile,18.6,22.6,24.6,0,18.9,10.5,0.4,4.5
China,9,35.3,20.6,12.5,14.9,3.6,1.1,3
Taiwan,3.6,10.7,20.1,23.3,35.5,6.4,0.1,0.1
Cyprus,25.8,26.5,22.2,13.9,7.1,3.7,0.8,0
Ethiopia,15.2,21.3,26,19.1,11.9,4.4,0.8,1.3
Finland,2.5,12.9,22.5,22.2,29.6,9.9,0.1,0.3
France,11.7,23.2,19,18.8,16.2,10.1,1,0.1
Georgia,15.9,24.3,22.7,13.8,12.3,4.5,1.1,5.5
Germany,8.8,23.4,29.3,21.9,10.7,3.4,1.2,1.2
Ghana,44.9,36,11.7,4.6,2.1,0.3,0.1,0.3
Hungary,8.1,26.1,29.4,19.4,11.9,4.2,0,0.8
India,21.7,25.9,17.3,9,5.3,2.2,0.1,18.4
Indonesia,13.3,19.5,18.7,20,20.9,3.3,1.5,2.6
Iran,16.8,27.7,25.8,17.2,7.1,4.6,0.5,0.2
Japan,2.3,8.6,17,26.5,31.5,8.2,6,0
Jordan,44.8,36.9,10.5,4.8,1,0,2.1,0
South Korea,12,25.5,25.7,20.5,11.5,4.8,0,0
Malaysia,10.4,21.8,29.1,21.1,13.7,3.7,0,0
Mali,40.3,22.5,12.7,9.6,6.6,2.9,3.7,0.8
Mexico,17.5,25.9,20.3,13.8,8.6,10.1,2,1.7
Moldova,10.7,27.2,23.1,19.1,14.3,4.7,0.1,0.7
Morocco,23.4,25.3,20.8,14.2,8.8,3.4,3.9,0
Netherlands,4.2,11.5,18.7,16.6,38,10.8,0.1,0.1
Norway,3.8,11.7,22,21.4,32.3,8.1,0.3,0.4
Peru,17.2,20.8,24.5,14.9,12.7,5.4,4.6,0
Poland,10.9,31.6,25.8,18.2,8.2,3.7,0.1,1.4
Romania,8.9,16.1,25.8,20.7,8.5,9,2.2,8.8
Russia,8.2,18.1,22.9,17.9,18.8,10.2,0.5,3.3
Rwanda,17.4,32,18.9,14.3,12.1,3.2,0.4,1.6
Viet Nam,12.9,33.5,27.1,12,6,2.7,0.9,3.7
Slovenia,15.3,29.7,27.2,12.5,9,3,0.9,2.4
South Africa,23.8,38.5,20.5,9.1,4.3,1.7,0,2.1
Spain,5.4,16.6,37.1,25.7,11.6,1.9,0.2,1.2
Sweden,3.7,15.3,25,18,28.6,8.8,0.5,0
Switzerland,8.5,19.9,28.2,21.4,15,6.6,0.1,0.3
Thailand,2.9,30.3,34.4,23.6,6.6,1.8,0.3,0
Trinidad and Tobago,25.7,33.6,14.9,9.5,12.9,3.4,0,0.1
Turkey,29.5,36.8,17.3,8.3,4.7,1.3,0,2
Ukraine,10,21.7,26.9,17.2,15.1,3.9,0.9,4.3
Egypt,35.5,21.2,20.6,12.4,6,3.7,0.1,0.5
United Kingdom,9.1,17.1,19.1,18.3,29.3,6.8,0.2,0
United States,7.2,14,24.1,22.5,20.1,9.1,1.2,0
Burkina Faso,31.9,32.5,14.1,7.2,5.1,3.2,2.4,3.2
Uruguay,6.6,12.5,17.1,19.3,24.4,17.5,2.6,0
Serbia and Montenegro,10.2,16.1,21.5,27,18.3,3.4,1.4,2.1
Zambia,24.8,24.5,21.3,13.4,8.5,4.4,1.8,1.1
