Country,Wave3,Wave4,Wave5,Wave6
Afghanistan,921.4,1008.2,1295.2,1797.2
Albania,4304.4,5978.8,8033.2,9789.2
Algeria,9464.2,10709.6,12210.6,12790.2
Andorra,29162.2,33230.4,41825.6,42306
Angola,3192.2,3693.8,6141.4,7281
Antigua and Barbuda,18089.2,19268.8,23912.6,20456.4
Argentina,11549.6,10681.2,13615.2,16997.2
Armenia,2463.2,3720.8,6387,7180.2
Aruba,40409.2,41347.8,39134.2,35450.6
Australia,32189.6,36449,40276.2,42323.4
Austria,35241.6,39320.8,42490.4,43814.2
Azerbaijan,3597,5397.2,12353,16179
Bahamas,23368,25731.2,24732.4,22680.4
Bahrain,43968.2,44201.2,42794.4,41555
Bangladesh,1498,1730.4,2150,2723.4
Barbados,13483,14460.2,15709.8,14318
Belarus,6062.4,8355.4,13000.2,16729.4
Belgium,34313.8,38126,40796.6,40777.8
Belize,6262.2,7676.2,8248,8261.4
Benin,1445.8,1573,1615.8,1695.4
Bermuda,44488.4,53697,58549.4,52582.8
Bhutan,3187.4,4011.6,5287.2,7046
Bolivia,4236,4362.2,4872.4,5695.6
Bosnia and Herzegovina,4463.4,6694,8638.4,9289
Botswana,9463.2,10590,12681.8,15153.6
Brazil,11211.4,11661.4,13224.8,15185
Brunei,76052,75561.2,73611.4,71196.8
Bulgaria,8649.4,10264.4,14015.4,15470
Burkina Faso,969.2,1109.2,1304.6,1527.6
Burundi,767.4,716.6,711,739.6
Cambodia,1163.4,1540.8,2253,2796.8
Cameroon,2283.4,2477,2553.6,2682
Canada,33580,38240.8,40816,41847
Cape Verde,2833.6,3964.8,5435.8,6202
Cayman Islands,57443,54856.6,55891.8,49487.8
Central African Republic,864,858,880,781.6
Chad,1053,1204,1767.6,2009.6
Chile,13810.4,15274.6,17968.8,20821.6
China,2990,4346,7141,11027
Colombia,8601.2,8601,10064.6,11649.2
Comoros,1427.4,1484.2,1468,1439.4
"Congo, Dem. Rep.",654.4,520.6,585.4,693.2
"Congo, Rep.",4637,4705.6,5055.8,5663.6
Costa Rica,8832,9752.2,11642.4,13063.6
Cote d'Ivoire,3115.6,2919.4,2846.4,2994.6
Croatia,14084,17065.4,20672,20170.4
Cuba,9986.4,11897,16591.2,19578.8
Cyprus,27203.6,31358.6,34713.8,31638.8
Czech Republic,19741.4,22368.4,27622,28373.2
Denmark,38478.6,42103,44496,42888
Djibouti,2163.6,2127,2409.2,2831.6
Dominica,7597.6,8309.4,9672.6,10215
Dominican Republic,6910.4,8109,9868.8,11600.4
Ecuador,7819.8,7780.8,8922.2,10148.2
Egypt,7019.6,8047.4,9450.8,10690
El Salvador,5838.2,6473.6,7215.2,7431.8
Equatorial Guinea,6091.4,21557.8,36495.8,33660
Eritrea,1551.2,1437.6,1206.6,1139.8
Estonia,12369.2,17153.8,23528.8,24233.2
Ethiopia,606.6,644,862.8,1252
Fiji,6230.6,6738,7127.6,7373.2
Finland,29912.6,35984.4,40281.6,39304.4
France,32038.2,35353,36951.4,37165.4
Gabon,19871.6,17252.4,16171.8,17063.2
Gambia,1471.8,1570.4,1556.4,1591.8
Georgia,2825.4,3765.2,5426.8,6625
Germany,34722.8,37341.8,39624,42400.4
Ghana,2153.4,2363.4,2760.4,3609.6
Greece,22751.4,27089.2,31310.4,25903.4
Greenland,18047.8,20597.6,23387.4,26162.6
Grenada,8309.2,9994.6,11740.6,11223.2
Guatemala,6017.8,6365.2,6765,7007
Guinea,1087.2,1178.8,1209.8,1198.6
Guinea-Bissau,1572.4,1297,1315.6,1388.2
