Country,Wave3,Wave4,Wave5,Wave6
Afghanistan,20.580214,20.672464,20.9533525,1
Albania,24.987154,25.266426,25.5624325,1
Algeria,25.232004,25.706126,26.2046925,1
Andorra,26.002044,26.195228,26.38096,1
Angola,21.494638,22.266278,23.1564475,1
Antigua and Barbuda,26.372876,26.774462,27.3025525,1
Argentina,26.000196,26.70807,27.2612975,1
Armenia,25.956254,26.349948,26.9310125,1
Australia,25.71087,26.25872,26.7268825,1
Austria,24.618678,24.834248,25.0267825,1
Azerbaijan,26.322582,26.56101,27.2632625,1
Bahamas,27.818526,28.431696,28.9569525,1
Bahrain,27.225574,27.957946,28.58937,1
Bangladesh,19.182092,19.73016,20.340115,1
Barbados,28.018488,28.581756,29.06334,1
Belarus,25.958054,26.12696,26.4885425,1
Belgium,25.08224,25.124754,25.145325,1
Belize,28.071108,28.874708,29.5879075,1
Benin,22.606736,23.144542,23.60167,1
Bermuda,29.415314,29.756844,30.1461025,1
Bhutan,21.63364,22.167696,22.6921425,1
Bolivia,25.433892,26.129188,26.6844975,1
Bosnia and Herzegovina,25.429448,25.95783,26.27547,1
Botswana,25.067604,25.520356,25.946955,1
Brazil,24.997848,25.373254,25.8282075,1
British Virgin Islands,27.48368,28.31213,28.7663775,1
Brunei,22.959668,22.961388,22.923505,1
Bulgaria,25.259146,25.260178,25.44155,1
Burkina Faso,20.734142,21.12713,21.5097775,1
Burundi,20.499104,20.821602,21.1677425,1
Cambodia,20.61934,21.074848,21.53893,1
Cameroon,23.257198,23.995424,24.7229175,1
Canada,25.799816,26.293474,26.6103675,1
Cape Verde,23.217596,24.053198,24.7393425,1
Central African Rep.,21.054086,21.647108,22.2047625,1
Chad,20.65011,21.198512,21.7748975,1
Chile,26.372998,27.126964,27.7324225,1
China,22.43505,22.683028,22.8688025,1
Colombia,25.499692,25.880304,26.13179,1
Comoros,21.90597,22.09506,22.3506025,1
"Congo, Dem. Rep.",20.69612,20.937624,21.4507975,1
"Congo, Rep.",21.688312,22.26709,22.8992525,1
Cook Islands,31.089242,32.35244,33.558605,1
Costa Rica,25.661994,26.300172,26.8446975,1
Cote d'Ivoire,22.61321,23.166912,23.656895,1
Croatia,24.565328,24.784334,25.0978825,1
Cuba,25.16119,25.735222,26.3855825,1
Cyprus,25.322248,25.625768,25.8524925,1
Czech Rep.,26.457146,26.467098,26.5021025,1
Denmark,24.471284,24.749932,25.01636,1
Djibouti,23.339298,23.752808,24.2306575,1
Dominica,27.381054,28.092238,28.6170575,1
Dominican Rep.,25.047586,25.93519,26.637505,1
Ecuador,26.185642,26.554806,26.9222375,1
Egypt,28.28257,29.19639,29.8821775,1
El Salvador,26.031454,26.87792,27.60202,1
Equatorial Guinea,21.901228,23.180908,24.2468625,1
Eritrea,20.113482,20.597898,20.9570525,1
Estonia,24.72746,24.922564,25.1306475,1
Ethiopia,19.735434,20.176212,20.57026,1
Fiji,26.94437,28.043476,29.0337425,1
Finland,25.301082,25.419832,25.5431125,1
France,24.569508,24.720866,24.8137175,1
French Polynesia,29.82271,30.863378,31.772335,1
Gabon,24.078266,24.921122,25.6757075,1
Gambia,22.6801,23.626994,24.51357,1
Georgia,25.487782,25.78627,26.282735,1
Germany,25.42244,25.572952,25.6914125,1
Ghana,22.70056,23.465678,24.1165625,1
Greece,24.562456,24.733258,24.8851175,1
Greenland,26.357268,26.523938,26.644255,1
Grenada,25.998148,26.540468,27.0975125,1
Guatemala,25.202588,25.946644,26.616845,1
Guinea,21.524106,21.948062,22.3275075,1
Guinea-Bissau,22.079284,22.450458,22.794585,1
Guyana,25.171752,25.892504,26.33268,1
Haiti,22.095156,22.666156,23.1190475,1
Honduras,25.302134,25.972082,26.5374875,1
"Hong Kong, China",23.182464,23.400738,23.6219275,1
Hungary,25.423778,25.602038,25.890125,1
Iceland,25.16576,25.517636,25.902465,1
India,20.80854,21.042616,21.2425925,1
Indonesia,21.89536,22.403046,22.8336375,1
Iran,25.27541,26.129264,26.95692,1
Iraq,27.284426,27.891254,28.2766275,1
Ireland,25.716256,26.184608,26.5065975,1
Israel,26.19587,26.723712,27.16185,1
Italy,24.776298,24.76934,24.789075,1
Jamaica,26.156954,26.648082,27.079875,1
Japan,21.88246,21.919638,21.8851475,1
Jordan,28.942972,29.103026,29.19499,1
Kazakhstan,25.709782,25.847798,26.426605,1
Kenya,22.220502,22.622398,22.950615,1
Kiribati,28.82446,30.04507,31.0070275,1
"Korea, Dem. Rep.",21.651652,21.32664,21.2532725,1
"Korea, Rep.",23.157446,23.090948,23.2446,1
Kuwait,29.70175,30.353314,30.9397125,1
Kyrgyzstan,25.200658,25.275762,25.56852,1
Laos,20.888494,21.398376,21.8776825,1
Latvia,25.050906,25.15853,25.5017075,1
Lebanon,26.34524,27.112824,27.57672,1
Lesotho,26.013648,26.32886,26.659615,1
Liberia,22.20558,22.670358,23.0615725,1
Libya,28.02338,28.514704,29.0233175,1
Lithuania,25.676632,25.756772,25.97063,1
Luxembourg,25.427968,25.764948,26.02125,1
"Macao, China",24.518818,24.574398,24.7870575,1
"Macedonia, FYR",25.063298,25.165538,25.307855,1
Madagascar,20.553884,20.657546,20.7148975,1
Malawi,21.700772,22.252302,22.73479,1
Malaysia,24.294516,24.863408,25.28931,1
Maldives,24.724776,25.543888,26.1803225,1
Mali,21.106164,21.944542,22.7906175,1
Malta,26.593492,26.879438,27.0127425,1
Marshall Islands,29.166018,30.143696,31.0824475,1
Mauritania,24.727756,25.433914,26.0586775,1
Mauritius,25.059696,25.573384,25.976855,1
Mexico,27.263244,27.969482,28.5538075,1
"Micronesia, Fed. Sts.",29.315746,30.231334,31.026765,1
Moldova,26.527686,26.478114,26.9104475,1
Mongolia,24.96739,25.213682,25.57449,1
Montenegro,25.367388,25.41122,25.60622,1
Morocco,25.194796,25.656918,26.0837075,1
Mozambique,21.785652,22.452116,23.10833,1
Myanmar,20.979392,21.588652,22.2572475,1
Namibia,23.798352,24.39548,24.96246,1
Nauru,32.525766,33.614404,34.668165,1
Nepal,19.734284,20.164646,20.58528,1
Netherlands,24.786164,25.112204,25.379595,1
Netherlands Antilles,28.351144,28.962842,29.4201625,1
New Zealand,26.140306,26.718948,27.2089875,1
Nicaragua,26.113756,26.787978,27.383995,1
Niger,21.03564,21.48026,21.8763475,1
Nigeria,22.909962,23.248084,23.5663925,1
Norway,24.89791,25.320988,25.6467175,1
Oman,26.171812,26.405512,26.5955925,1
Pakistan,22.812252,23.07678,23.3426225,1
Palau,29.499474,30.532022,31.4994625,1
Panama,26.08909,26.7641,27.43512,1
Papua New Guinea,24.02811,24.854486,25.539975,1
Paraguay,24.896876,25.362892,25.76258,1
Peru,25.660292,25.844722,25.943535,1
Philippines,22.625888,23.00296,23.343195,1
Poland,25.580716,25.734652,25.87312,1
Portugal,25.689206,25.960916,26.1334975,1
Puerto Rico,28.456004,29.331278,30.017475,1
Qatar,27.762198,28.300836,28.7664975,1
Romania,24.91269,24.949592,25.157815,1
Russia,26.435914,26.63657,27.058495,1
Rwanda,21.223778,21.565946,21.9578025,1
Saint Kitts and Nevis,28.884118,29.651414,30.288675,1
Saint Lucia,26.054708,26.572142,27.0548275,1
Saint Vincent and the Grenadines,26.037562,26.682068,27.3101275,1
Samoa,30.839394,32.121114,33.31007,1
Sao Tome and Principe,23.298556,23.954248,24.6447025,1
Saudi Arabia,28.145636,28.765968,29.3885425,1
Senegal,22.964568,23.545442,24.12282,1
Serbia,25.53557,25.443646,25.5810125,1
Seychelles,26.710604,27.331952,27.80868,1
Sierra Leone,22.623938,23.01072,23.67636,1
Singapore,23.426128,23.23408,22.96775,1
Slovak Republic,26.070748,26.113468,26.24896,1
Slovenia,26.186164,26.390186,26.5399925,1
Solomon Islands,27.048474,27.883096,28.6038075,1
Somalia,21.839812,22.186854,22.54142,1
South Africa,27.911408,28.515496,29.22609,1
Spain,25.840834,26.07443,26.259585,1
Sri Lanka,22.315546,22.717682,23.00743,1
Sudan,22.018816,22.50423,22.9828675,1
Suriname,26.277746,26.92943,27.54405,1
Swaziland,27.215006,27.741432,28.278615,1
Sweden,24.843448,24.9954,25.1060275,1
Switzerland,24.019396,24.044662,24.0595775,1
Syria,27.563396,28.230532,28.736395,1
Taiwan,23.007248,23.065212,23.0478225,1
Tajikistan,23.587824,23.411122,23.72503,1
Tanzania,22.133052,22.523888,22.9393625,1
Thailand,23.515966,23.967328,24.2830575,1
Timor-Leste,20.965454,21.26077,21.434275,1
Togo,21.553912,22.077062,22.5723025,1
Tonga,31.689798,32.896332,33.91849,1
Trinidad and Tobago,26.972404,27.518426,28.0956675,1
Tunisia,26.59102,27.261504,27.7713575,1
Turkey,27.595258,27.900696,28.15389,1
Turkmenistan,23.97487,24.070724,24.512925,1
Uganda,21.545794,21.962606,22.34501,1
Ukraine,25.816996,25.725664,26.0972825,1
United Arab Emirates,28.460976,28.994136,29.44318,1
United Kingdom,25.94863,26.425874,26.813705,1
United States,27.159738,27.752792,28.21151,1
Uruguay,25.265842,25.881184,26.390805,1
Uzbekistan,24.677408,24.878652,25.2706475,1
Vanuatu,26.236478,27.240972,28.1428825,1
Venezuela,26.71886,27.325188,27.9101325,1
Vietnam,19.986722,20.47982,20.92195,1
West Bank and Gaza,27.669022,28.577504,28.93968,1
"Yemen, Rep.",25.0284,25.544842,25.9772875,1
Zambia,22.1353,22.461162,22.89712,1
Zimbabwe,24.665462,24.653582,24.6407175,1
