Country,Wave3,Wave4,Wave5,Wave6
Afghanistan,20.823308,20.616954,20.5978425,1
Albania,25.35326,25.770226,26.26804,1
Algeria,23.54315,23.960818,24.4343425,1
Andorra,26.588016,27.02733,27.482065,1
Angola,21.23351,21.524102,22.021225,1
Antigua and Barbuda,24.788752,25.13733,25.58049,1
Argentina,26.580402,26.999582,27.3404475,1
Armenia,24.053762,24.393846,25.0843475,1
Australia,26.473336,26.940826,27.40533,1
Austria,25.71546,26.003152,26.338395,1
Azerbaijan,24.524478,24.6821,25.35648,1
Bahamas,25.906454,26.507608,27.0661975,1
Bahrain,26.187686,26.947852,27.6128675,1
Bangladesh,20.117092,20.190204,20.3360925,1
Barbados,25.35249,25.778994,26.222405,1
Belarus,25.147068,25.408724,25.9354925,1
Belgium,25.98407,26.3106,26.6363525,1
Belize,25.807982,26.317204,26.8532675,1
Benin,21.58554,21.950882,22.29613,1
Bermuda,27.122824,27.66375,28.19847,1
Bhutan,22.04059,22.341274,22.68353,1
Bolivia,23.752764,24.077742,24.3466875,1
Bosnia and Herzegovina,25.240422,25.845332,26.43155,1
Botswana,20.828892,21.322542,21.9139025,1
Brazil,24.37578,24.972692,25.5650975,1
British Virgin Islands,25.688014,26.538968,27.104825,1
Brunei,23.750532,23.943892,24.121,1
Bulgaria,25.7823,25.967696,26.3702825,1
Burkina Faso,20.57084,20.825368,21.1473675,1
Burundi,21.321388,21.322568,21.4425925,1
Cambodia,20.12443,20.368252,20.6800975,1
Cameroon,22.706054,23.08037,23.5266,1
Canada,26.753222,27.12171,27.3755625,1
Cape Verde,22.144776,22.712352,23.29609,1
Central African Rep.,20.790202,20.87456,20.9540075,1
Chad,20.746436,20.979704,21.36057,1
Chile,25.880052,26.36991,26.8477425,1
China,22.377098,22.6178,22.8325175,1
Colombia,23.853116,24.321094,24.7663975,1
Comoros,21.682844,21.798182,21.9875825,1
"Congo, Dem. Rep.",20.227022,19.861366,19.8214075,1
"Congo, Rep.",21.299154,21.474146,21.7588025,1
Cook Islands,30.029212,31.169484,32.29778,1
Costa Rica,25.248134,25.781048,26.293355,1
Cote d'Ivoire,21.861232,22.155722,22.454395,1
Croatia,25.675182,26.034332,26.4502775,1
Cuba,23.817292,24.279478,24.8625175,1
Cyprus,26.524012,26.920818,27.285885,1
Czech Rep.,27.102232,27.417656,27.7708825,1
Denmark,25.101388,25.528288,25.980655,1
Djibouti,22.452302,22.782376,23.2124725,1
Dominica,23.792408,24.181526,24.4703,1
Dominican Rep.,23.885366,24.389012,24.98055,1
Ecuador,24.78461,25.098046,25.457815,1
Egypt,25.768422,26.235534,26.6049325,1
El Salvador,25.077526,25.668914,26.1869825,1
Equatorial Guinea,21.647,22.595268,23.5131275,1
Eritrea,20.583986,20.789622,20.8674175,1
Estonia,24.959616,25.463858,26.058975,1
Ethiopia,19.740354,19.896986,20.1305875,1
Fiji,24.770738,25.55649,26.2941875,1
Finland,25.952278,26.22946,26.59738,1
France,25.24615,25.489926,25.75999,1
French Polynesia,28.80762,29.748568,30.58654,1
Gabon,23.306498,23.628138,23.9418525,1
Gambia,20.705968,21.08085,21.49617,1
Georgia,24.615324,24.820386,25.3497825,1
Germany,26.480352,26.787746,27.059645,1
Ghana,21.819914,22.247656,22.6775025,1
Greece,25.488274,25.82531,26.208585,1
Greenland,25.301154,25.631616,25.919735,1
Grenada,24.25508,24.64524,25.0390625,1
Guatemala,24.393738,24.805116,25.1684175,1
Guinea,21.726686,22.04465,22.3978525,1
Guinea-Bissau,21.355462,21.459218,21.57523,1
Guyana,23.125126,23.458972,23.634155,1
Haiti,23.05788,23.277542,23.5496575,1
Honduras,24.262738,24.619518,24.9723675,1
"Hong Kong, China",23.918544,24.430306,24.8882725,1
Hungary,26.152098,26.494786,26.9531225,1
Iceland,26.008556,26.508586,27.035055,1
India,20.67279,20.830762,20.9239575,1
Indonesia,20.931654,21.301306,21.701245,1
Iran,24.606838,24.953566,25.210145,1
Iraq,25.914342,26.375306,26.6202975,1
Ireland,26.655316,27.164526,27.53387,1
Israel,25.937386,26.486262,26.971825,1
Italy,25.808796,26.061762,26.3720275,1
Jamaica,23.1066,23.484004,23.8700225,1
Japan,22.860262,23.190194,23.421625,1
Jordan,26.443238,26.892496,27.324405,1
Kazakhstan,24.989632,25.328812,26.0292975,1
Kenya,21.047642,21.248386,21.4841675,1
Kiribati,27.419138,28.320926,29.0242425,1
"Korea, Dem. Rep.",22.18266,22.026718,22.01075,1
"Korea, Rep.",23.112358,23.551426,23.8865625,1
Kuwait,27.56281,28.275544,28.9227875,1
Kyrgyzstan,24.237006,24.314288,24.6299075,1
Laos,20.265912,20.576304,20.9378375,1
Latvia,25.329608,25.681476,26.254835,1
Lebanon,25.95769,26.587176,27.046795,1
Lesotho,20.90198,21.236732,21.7055325,1
Liberia,21.476132,21.687666,21.82605,1
Libya,25.737432,26.058412,26.4046725,1
Lithuania,25.851712,26.162248,26.6796675,1
Luxembourg,26.378496,26.844838,27.27943,1
"Macao, China",24.50686,24.920168,25.471265,1
"Macedonia, FYR",25.58263,25.863492,26.2066375,1
Madagascar,21.077128,21.18245,21.322185,1
Malawi,21.171676,21.5219,21.8816375,1
Malaysia,23.516964,24.087672,24.5600625,1
Maldives,22.01009,22.49063,23.0052725,1
Mali,20.889112,21.242078,21.64524,1
Malta,26.794254,27.239854,27.5753225,1
Marshall Islands,27.633784,28.399412,29.1297225,1
Mauritania,21.753868,22.12193,22.48969,1
Mauritius,23.93074,24.472186,24.9816775,1
Mexico,26.328602,26.84389,27.2803825,1
"Micronesia, Fed. Sts.",26.802374,27.42455,27.93895,1
Moldova,24.1165,23.892384,24.112275,1
Mongolia,23.855794,24.137344,24.6503425,1
Montenegro,25.733032,26.003122,26.40123,1
Morocco,24.64164,25.054388,25.47513,1
Mozambique,20.931908,21.290268,21.7629325,1
Myanmar,20.263478,20.681894,21.2483975,1
Namibia,21.450792,21.855936,22.4262825,1
Nauru,31.770054,32.703796,33.5948225,1
Nepal,20.643888,20.70103,20.7459775,1
Netherlands,25.006822,25.448672,25.8682175,1
Netherlands Antilles,26.370792,27.00244,27.52459,1
New Zealand,26.46717,26.997166,27.576595,1
Nicaragua,24.879086,25.264898,25.6388775,1
Niger,20.734794,20.90007,21.1178075,1
Nigeria,21.961806,22.386412,22.85537,1
Norway,25.773222,26.287322,26.7764225,1
Oman,25.02514,25.583166,26.0654275,1
Pakistan,21.912862,22.068686,22.2261525,1
Palau,28.307894,29.220586,30.0695275,1
Panama,25.002738,25.544962,26.0637575,1
Papua New Guinea,23.98562,24.504228,24.88051,1
Paraguay,24.612398,25.001278,25.3898,1
Peru,23.83771,24.268996,24.63272,1
Philippines,22.244652,22.515236,22.7688575,1
Poland,25.675074,26.10246,26.5213275,1
Portugal,25.831532,26.231884,26.5715325,1
Puerto Rico,26.627666,27.436078,28.1524475,1
Qatar,26.557168,27.265678,27.91101,1
Romania,24.641092,24.809968,25.234505,1
Russia,24.959196,25.1936,25.777455,1
Rwanda,21.75315,22.012314,22.4058475,1
Saint Kitts and Nevis,26.819826,27.444038,28.0209,1
Saint Lucia,23.881194,24.200396,24.5274825,1
Saint Vincent and the Grenadines,24.232772,24.691968,25.250205,1
Samoa,28.377446,29.335112,30.1699,1
Sao Tome and Principe,22.240092,22.754338,23.305955,1
Saudi Arabia,26.668306,27.198702,27.7062025,1
Senegal,21.128486,21.454254,21.79934,1
Serbia,25.950218,26.079576,26.384105,1
Seychelles,24.179796,24.8135,25.346955,1
Sierra Leone,21.903214,21.983066,22.3610325,1
Singapore,23.647642,23.781966,23.82477,1
Slovak Republic,26.195382,26.437648,26.772385,1
Slovenia,26.426108,26.877632,27.3027125,1
Solomon Islands,26.061452,26.559172,26.985625,1
Somalia,21.495432,21.638918,21.86653,1
South Africa,24.106664,25.041526,26.3473275,1
Spain,26.30599,26.83559,27.3414525,1
Sri Lanka,21.239558,21.56993,21.8516475,1
Sudan,21.365762,21.75605,22.223365,1
Suriname,24.309146,24.78383,25.306585,1
Swaziland,22.082124,22.486614,22.9961175,1
Sweden,25.56035,25.899314,26.2512925,1
Switzerland,25.697962,25.894418,26.1125425,1
Syria,25.875822,26.414384,26.800475,1
Taiwan,23.767782,24.093288,24.35664,1
Tajikistan,23.604044,23.359968,23.641105,1
Tanzania,21.721788,21.970698,22.3369925,1
Thailand,22.256874,22.607148,22.894675,1
Timor-Leste,20.519504,20.607636,20.5736175,1
Togo,21.286564,21.519054,21.7771475,1
Tonga,29.27606,30.095996,30.7710275,1
Trinidad and Tobago,25.29539,25.698088,26.210745,1
Tunisia,23.799886,24.41834,24.9694375,1
Turkey,25.390476,25.93309,26.4933175,1
Turkmenistan,24.391938,24.5204,25.04236,1
Uganda,21.784566,22.037994,22.27106,1
Ukraine,24.828844,24.801282,25.2395,1
United Arab Emirates,26.751158,27.289664,27.8349425,1
United Kingdom,26.341784,26.834612,27.2500275,1
United States,27.391568,27.904334,28.329835,1
Uruguay,25.580274,25.967304,26.2553475,1
Uzbekistan,24.69481,24.846324,25.17582,1
Vanuatu,25.458762,26.060096,26.58523,1
Venezuela,26.29127,26.785158,27.2467,1
Vietnam,19.84661,20.278196,20.7443775,1
West Bank and Gaza,26.011552,26.47555,26.55497,1
"Yemen, Rep.",23.732056,24.057902,24.34966,1
Zambia,20.123608,20.25453,20.5572775,1
Zimbabwe,21.632876,21.794232,21.9573275,1
