Country,Wave3,Wave4,Wave5,Wave6
Afghanistan,17.93221696,17.93221696,28.00171999,37.6667862
Albania,43.84359462,103.8556734,227.2637176,240.8247849
Algeria,63.84476557,73.79096358,142.6476833,178.2450655
Andorra,1528.245287,1638.979042,2950.921527,3099.413225
Angola,11.67123933,21.02377688,107.1925282,123.2010963
Antigua and Barbuda,373.175973,423.1215214,563.382149,689.6866917
Argentina,670.3463795,445.50367,571.9016725,741.8329792
Armenia,30.89531691,47.4541658,110.4619768,133.4767613
Australia,1683.727535,2077.378897,3719.514196,4774.534907
Austria,2704.119609,2842.835034,4524.8333,4958.432962
Azerbaijan,26.43912103,46.61096413,194.2084703,331.5067978
Bahamas,949.7016171,1194.111602,1700.41674,1735.050078
Bahrain,489.4381862,581.0195697,734.0401598,864.1475701
Barbados,501.6274376,666.8716165,857.2917046,1003.432519
Belarus,82.35133818,102.5719375,287.0035271,319.6404007
Belgium,2035.280913,2464.588545,4184.950057,4618.308324
Belize,109.9949424,154.7136701,206.1895435,238.823592
Benin,17.69625743,19.67954312,30.68390138,31
Bhutan,33.84293995,54.04457188,79.7844078,108.488761
Bolivia,49.47195054,56.98166101,71.62807957,96.52464129
Bosnia and Herzegovina,90.98475532,152.2899352,392.467482,499.2078719
Botswana,128.8478275,250.2488723,487.9093174,614.5987062
Brazil,319.776015,233.3381818,587.6432768,990.3940748
Brunei,583.5473815,573.3483272,779.1514079,881.5662413
Bulgaria,76.00125277,163.9928866,376.4880194,434.893145
Burkina Faso,11.8473159,14.95721032,31.55270512,39.77877598
Burundi,8.286421712,7.288412066,17.11351593,20.7200245
Cambodia,21.69347082,25.66326699,35.71829339,45.18599793
Cameroon,29.3019724,34.13971048,53.76283618,61.34140305
Canada,1861.521783,2440.138931,4169.705635,5222.1176
Cape Verde,60.00338798,74.24332943,132.5853625,154.6348977
Central African Republic,10.95941286,11.05234761,15.93381208,18.19331692
Chad,11.85386168,16.34662846,26.96234559,30.64455299
Chile,391.4052579,380.0135844,668.7676981,947.22032
China,30.5080795,55.20462882,127.2289154,220.8766447
Colombia,226.3066495,183.5789965,326.3454481,472.1522232
Comoros,15.89231962,13.41975169,26.72814781,33.22185547
"Congo, Dem. Rep.",6.494296346,7.135807698,11.38713634,15.754249
"Congo, Rep.",24.14362894,25.24894359,59.83835556,72.29518609
Cook Is,208.0062249,266.9292213,432.6308905,538.693219
Costa Rica,229.7376805,308.5670713,515.7021024,811.4380517
Cote d'Ivoire,45.02654514,29.23814581,55.4844145,59.74525371
Croatia,347.6896499,447.3562485,967.7624183,1066.724606
Cuba,129.6553919,189.9485612,500.4929567,607.0272194
Cyprus,744.6488079,996.4617601,1652.011708,1704.528068
Czech Republic,385.8310906,545.0871878,1191.470232,1480.002985
Denmark,2786.368859,3297.383153,5623.208916,6421.500852
Djibouti,36.59962844,45.0235379,76.76550514,91.66213141
Dominica,208.0786119,239.2916826,303.7663882,419.2576573
Dominican Republic,129.3529512,157.1566709,237.6696089,323.3456686
Ecuador,78.10588151,109.5181936,241.2281012,328.1994657
Egypt,56.03243215,68.98317986,88.12862653,123.1876302
El Salvador,146.5139397,182.6644623,211.0002348,236.7837328
Equatorial Guinea,36.21923718,114.0698945,487.006607,896.1866734
Eritrea,8.742699646,8.31983316,9.324232304,11.90349972
Estonia,220.4126376,345.333755,800.1346574,853.3266122
Ethiopia,4.334249876,5.638088086,11.30479816,15.71461791
Fiji,79.82864516,87.51355491,145.2062906,154.2768227
Finland,1915.681115,2209.82531,3703.387882,3984.335914
France,2569.147625,2743.079201,4399.234123,4690.93185
Gabon,130.5981226,128.9770686,223.5762907,302.0678443
Gambia,19.63047603,17.0239752,22.55667876,26.12479413
Georgia,43.45165968,66.66356501,194.0914711,271.6254716
Germany,2870.848089,2826.999112,4209.218576,4668.325328
Ghana,20.52195545,17.16768209,54.2674879,67.03337705
Greece,1081.743809,1314.673702,2629.692898,2729.365052
Grenada,230.3449615,356.101181,446.4692854,439.2231409
Guatemala,65.54993996,109.0571878,175.7384433,196.8933986
Guinea,25.96206556,21.23070977,21.38777924,23.00746998
Guinea-Bissau,16.93231987,14.59091591,31.16599082,46.8536096
Guyana,46.03191546,59.9844832,132.2740549,158.783277
Haiti,25.0392629,20.0134205,31.7778025,46.40791023
Honduras,42.6606848,73.26977412,104.8212278,
Hungary,325.5377399,539.8238953,983.2337125,942.3449994
Iceland,2627.83151,3504.617941,5054.948749,3722.253769
India,17.31687657,22.32864272,38.31071272,54.24549406
Indonesia,17.46091236,21.11427618,46.01670802,76.89321523
Iran,115.1862957,167.9481223,222.8177765,316.9253867
Iraq,10.44430819,29.80889259,119.4184547,246.7532266
Ireland,1397.117207,2391.160844,4425.208807,4241.637945
Israel,1364.48021,1415.71818,1768.554477,2183.22303
Italy,1594.480008,1939.273388,3090.377039,3247.679317
Jamaica,146.8459097,178.6694004,217.4528713,247.2799791
Japan,2535.713019,2688.56849,3107.285097,4065.418946
Jordan,144.5833279,185.0037477,275.694203,357.4386974
Kazakhstan,58.58894626,70.42170811,249.859618,393.100636
Kenya,17.90584783,19.07520786,30.27578746,36.84523849
Kiribati,73.32414955,84.8660765,148.9839407,159.6117474
South Korea,425.0613626,625.5504847,1194.429385,1438.783061
Kuwait,643.4053263,649.0733007,1103.625667,1223.295735
Kyrgyz Republic,21.27278865,18.08401048,45.24218304,53.47824202
Lao,16.24485526,14.73142292,29.75852623,46.16728607
Latvia,157.5844019,268.4156072,728.8510798,717.5808549
Lebanon,461.8240491,437.4872397,512.674213,651.0425924
Lesotho,32.03801434,30.06409406,58.79217875,108.8611829
Liberia,7.92160348,8.606097006,20.22314032,29.15712966
Libya,200.8689357,203.0103137,340.1718257,483.7248886
Lithuania,155.7405174,283.929681,698.5921613,781.4196797
Luxembourg,2709.467195,4419.95502,7471.916837,8181.102611
"Macedonia, FYR",186.5257873,186.4822948,280.378611,316.8707733
Madagascar,8.168012244,10.26228146,15.5295755,15.90011218
Malawi,10.1243476,11.38596244,21.04084261,25.62494812
Malaysia,117.3154578,157.4614924,260.6752266,367.9186029
Maldives,120.9348107,182.3020806,347.4525397,382.4750044
Mali,17.48316213,18.79240626,29.57539944,31.65952422
Malta,637.186585,896.0569581,1537.10525,1696.918727
Marshall Islands,390.4990526,420.4295216,477.5674206,520.3800846
Mauritania,25.4442627,24.1301235,36.86199918,42.68553844
Mauritius,128.8315013,171.8061816,317.9025393,448.9274513
Mexico,218.9800103,386.7004383,535.5626196,
"Micronesia, Fed. Sts.",162.0047343,195.9542129,294.4636338,366.2053079
Moldova,32.13225865,39.28105758,139.0147508,190.4130371
Monaco,2745.051722,3235.244072,5743.161173,6325.542419
Mongolia,19.05157275,26.08358593,74.13424618,120.1083109
Montenegro,109.4369837,196.6721081,464.4147932,578.3487717
Morocco,51.90539085,74.14066367,127.0442757,147.9503457
Mozambique,10.1280462,13.3355811,19.02692909,21.33926933
Myanmar,2.349960848,3.591661454,8.682350932,17.14426649
Namibia,133.2961576,142.7288724,276.3781949,361.3057253
Nauru,432.8010149,355.8188534,494.7012008,713.2567464
Netherlands,2121.606173,2675.999516,4698.363472,5593.052231
New Zealand,1208.312737,1384.544121,2559.938207,3278.61661
Nicaragua,53.76192143,58.78886594,90.25524053,
Niger,7.031006548,7.054382398,17.35291797,18.285209
Nigeria,43.58831748,27.25553884,65.17510508,62.7837644
Niue,387.8648068,792.5313552,1491.991309,2318.358348
Norway,3159.910955,4200.423419,7021.517135,8091.285514
Oman,232.4754913,281.3689183,415.6293713,574.3067882
Pakistan,15.18083735,15.17559122,20.96104462,21.78013027
Palau,729.9011255,704.2069192,833.0983046,849.8699614
Panama,254.8082063,320.7794313,435.258417,616.3865367
Papua New Guinea,32.68640058,26.25615347,35.40731649,49.4172872
Paraguay,115.1727833,91.88986056,122.8242671,162.8775786
Peru,101.8206213,102.0869919,192.7665965,268.7578138
Philippines,37.22560417,31.79882043,55.71450194,77.3301845
Poland,237.5306847,326.4756416,713.9035175,917.1133629
Portugal,924.8337017,1323.710997,2145.493273,2366.521243
Qatar,638.2045195,1101.584987,1650.733988,1488.751998
Romania,72.22567414,128.087196,381.1999339,427.999858
Russia,130.4370077,147.2134279,433.4908655,525.3180739
Rwanda,12.21251983,10.67593955,37.17243817,55.50948097
St. Kitts and Nevis,318.4441083,370.1245209,506.7686276,668.6202251
