Country,Wave3,Wave4,Wave5,Wave6
Afghanistan,6.867054,6.6843853,6.6843853,6.6843853
Albania,2.792918,7.699329853,7.699329853,7.699329853
Algeria,3.754641,4.848769665,4.848769665,4.848769665
Andorra,5.460766,5.362178802,5.362178802,5.362178802
Angola,11.94146,14.55467701,14.55467701,14.55467701
Antigua and Barbuda,0.4761568,2.1618433,2.1618433,2.1618433
Argentina,8.399384,8.045732,7.765584,7.765584
Armenia,3.223157,3.741587877,3.741587877,3.741587877
Australia,11.03015,9.656323,8.470030125,8.470030125
Austria,15.15603,13.6443,13.09437,13.09437
Azerbaijan,4.718285,1.380964637,1.380964637,1.380964637
Bahamas,3.141181,3.374415874,3.374415874,3.374415874
Bahrain,3.881184,4.414990425,4.414990425,4.414990425
Bangladesh,14.7468,14.53835678,14.53835678,14.53835678
Barbados,3.996051,3.108602524,3.108602524,3.108602524
Belarus,29.54302,31.08221245,26.8746903,26.8746903
Belgium,17.61622,15.95385,15.95385,15.95385
Belize,3.146572,9.388795853,9.388795853,9.388795853
Benin,6.626652,6.057739735,6.057739735,6.057739735
Bhutan,17.39743,15.54260254,15.54260254,15.54260254
Bolivia,2.206954,2.034178495,2.034178495,2.034178495
Bosnia and Herzegovina,12.45098,11.8367157,11.8367157,11.8367157
Botswana,7.453454,11.21397018,11.21397018,11.21397018
Brazil,4.564688,4.544517,4.777007,4.777007
Brunei,1.450894,1.370001554,1.370001554,1.370001554
Bulgaria,12.3741,9.517831,9.216544,9.216544
Burkina Faso,8.277635,8.204221725,8.204221725,8.204221725
Burundi,10.84354,14.68093586,14.68093586,14.68093586
Cambodia,5.028395,4.961071491,4.961071491,4.961071491
Cameroon,6.682539,7.214220524,7.214220524,7.214220524
Canada,10.46119,10.10099,10.10099,10.10099
Cape Verde,3.929598,5.633333683,5.633333683,5.633333683
Central African Rep.,13.10169,13.54841995,13.54841995,13.54841995
Chad,7.292041,8.283070564,8.283070564,8.283070564
Chile,10.2641,10.68438,10.17187,10.17187
China,21.20328,16.91324806,16.91324806,16.91324806
Colombia,5.728444,5.359842,4.907702,4.907702
Comoros,4.377626,4.751083851,4.751083851,4.751083851
"Congo, Dem. Rep.",7.346663,14.71302032,14.71302032,14.71302032
"Congo, Rep.",9.821898,9.873761177,9.873761177,9.873761177
Cook Is,4.565275,4.373364925,4.373364925,4.373364925
Costa Rica,7.162079,8.127507,6.597168,6.597168
Cote d'Ivoire,15.30599,20.31793022,20.31793022,20.31793022
Croatia,15.20331,14.6266,14.77625,14.77625
Cuba,12.36816,11.55148,10.57191,10.57191
Cyprus,0.6061239,0.6143094,2.206169,2.206169
Czech Rep.,12.25913,12.57968,12.36798,12.36798
Czechoslovakia,,,,
Denmark,10.18429,10.06166,8.973104,8.973104
Djibouti,5.495998,4.993475914,4.993475914,4.993475914
Dominica,0,5.835250854,5.835250854,5.835250854
Dominican Rep.,3.62026,6.519536972,6.519536972,6.519536972
East Germany,,,,
Ecuador,6.129993,8.504684448,8.504684448,8.504684448
Egypt,1.748405,1.799903631,1.799903631,1.799903631
El Salvador,9.342705,8.42265892,7.304886,7.304886
Equatorial Guinea,7.288387,10.12934971,10.12934971,10.12934971
Eritrea,9.22487,8.913362503,8.913362503,8.913362503
Estonia,23.85851,20.65888,16.95924,16.95924
Ethiopia,5.404214,10.07194233,10.07194233,10.07194233
Fiji,4.056887,3.94025898,3.94025898,3.94025898
Finland,18.5012,18.126,16.23437,16.23437
France,14.59405,14.49824,14.09153,14.09153
Gabon,6.143663,7.745064735,7.745064735,7.745064735
Gambia,6.174481,6.449156761,6.449156761,6.449156761
Georgia,2.636733,1.574350119,1.574350119,1.574350119
Germany,10.30427,9.719625,9.211085,9.211085
Ghana,5.483176,6.288554668,6.288554668,6.288554668
Greece,2.292947,2.52179,2.816705,2.816705
Grenada,3.68991,3.576478243,3.576478243,3.576478243
Guatemala,2.875398,2.441434,2.234896,2.234896
Guinea,7.559197,7.443826199,7.443826199,7.443826199
Guinea-Bissau,7.160841,7.563692093,7.563692093,7.563692093
Guyana,21.03666,35.75287247,35.75287247,35.75287247
Haiti,1.327544,1.519248009,1.519248009,1.519248009
Honduras,9.136425,7.060184479,7.060184479,7.060184479
Hungary,22.31117,21.30929,20.16201,20.16201
Iceland,11.5195,11.42618084,11.42618084,11.42618084
India,19.10727,18.58382607,18.58382607,18.58382607
Indonesia,12.20369,11.39611149,11.39611149,11.39611149
Iran,8.735305,6.021882057,6.021882057,6.021882057
Iraq,8.374964,17.03264618,17.03264618,17.03264618
Ireland,10.93738,10.90351,10.36507,10.36507
Israel,5.893611,6.088309,5.931845,5.931845
Italy,5.34118,5.31370163,4.930044509,4.930044509
Jamaica,0.1023526,4.417507172,4.417507172,4.417507172
Japan,18.02855,18.53678,18.94693,18.94693
