Country,A stable economy,Progress toward a less impersonal and more humane society,Progress toward a society in which Ideas count more than money,The fight against crime,No answer,Don´t know
TOTAL,55.7,16.5,8.9,17.2,0.8,0.8
Algeria,22.1,15.6,14.6,43.7,4.1,0
Azerbaijan,44.1,12.2,20.5,23.2,0,0
Argentina,53.2,14.8,6.8,24,0.4,0.8
Armenia,65,5.5,10.5,16.9,0.3,1.8
Australia,54.6,19.6,9.8,14.9,1.2,0
Bahrain,29.4,35.8,18,16.2,0,0.6
Brazil,27.6,15.1,7.3,48.9,0.1,0.9
Belarus,79.8,7.4,6,6.5,0,0.3
Chile,44.1,27.6,13,14.3,0.4,0.6
China,53.3,14.6,5.9,16.1,2.8,7.3
Taiwan,65.8,15.2,6.8,8.7,0.1,3.5
Colombia,49.1,19.8,11.4,19.6,0.1,0.1
Cyprus,67.4,13.5,9.5,9.6,0,0
Ecuador,56.7,15.6,9.1,18.7,0,0
Estonia,73,10.1,7.1,9.1,0,0.7
Georgia,73.5,10.5,3.4,12.3,0,0.3
Palestine,57.4,17.8,9.5,14.5,0,0.8
Germany,49.5,30.6,11,8.4,0,0.5
Ghana,69.1,8.4,4.5,18,0,0
Hong Kong,55.8,20.3,7.1,12.7,4.1,0
India,43.9,14.2,14.7,26.5,0.7,0
Iraq,37.2,26.8,6.7,29.3,0,0
Japan,59.4,25.5,3.6,7.8,0,3.7
Kazakhstan,67.6,6.8,7.8,17.8,0,0
Jordan,54.3,13.7,7.2,24.4,0,0.3
South Korea,65.9,23.7,4.3,6,0.1,0
Kyrgyzstan,75.3,9.3,6.7,8.7,0.1,0
Lebanon,40.1,26.1,16.8,16.4,0,0.7
Libya,32.3,17,12.5,35.5,0.8,1.9
Malaysia,64.8,17.3,8.9,8.9,0,0
Mexico,54.3,13.2,7.8,24.2,0.1,0.4
Morocco,41.8,18.2,5.4,23.5,5.4,5.7
Netherlands,56.7,23.2,5.6,11.4,0.3,2.9
New Zealand,46.3,13.2,5.1,8.1,26.9,0.5
Nigeria,62.7,16.7,9,11.5,0,0
Pakistan,51.4,30.3,9.4,8.7,0.1,0.2
Peru,52.8,11.6,9.4,25.4,0.2,0.6
Philippines,43.1,21.3,13.4,22.2,0,0
Poland,57.8,10.1,10,19.9,0.1,2
Qatar,49.7,19.7,16.4,14.2,0,0
Romania,57.6,14.7,8.8,17.4,0.3,1.3
Russia,63.3,9.7,10,16.3,0.1,0.6
Rwanda,66.9,20.8,5.8,6.5,0,0
Singapore,60.3,19.7,12.3,7.6,0,0
Slovenia,60.4,12.3,7,17.1,1.9,1.2
South Africa,45.2,19.7,9.1,26,0,0
Zimbabwe,67.7,16.7,8.3,7.4,0,0
Spain,63.9,13.6,10.3,11.1,0.1,1
Sweden,41.8,27.2,12.1,18.2,0.3,0.3
Thailand,53,18.4,10.8,15.3,2.4,0
Trinidad and Tobago,40.9,9.9,5.8,43.2,0.1,0
Tunisia,64.1,9.9,4.4,20.4,0,1.2
Turkey,56.5,23.2,9.1,8.6,0.6,2
Ukraine,75.8,7.1,6.3,10.7,0,0
Egypt,70.8,8.5,2.7,18,0,0
United States,74.4,9.7,6.1,8.2,1.7,0
Uruguay,51.4,19.8,6.8,19.7,0.4,1.9
Uzbekistan,50.5,16.2,8.4,19.7,5.2,0
Yemen,79.4,8.1,4.2,8.3,0,0
