Country,1,2,3,4,5,6,7,8,9,10,Don´t know,No answer
TOTAL,6,5.1,6.1,6.2,16.9,10.5,12.4,13.5,9.6,12.4,1.1,0.1
Albania,4.6,6,15.4,15.9,16.7,11.7,11.3,10.2,5.3,2.7,0.2,0
Algeria,12.6,5.6,8.4,5.9,12.9,10.5,13.6,11.5,6.3,11.9,1,0
Argentina,3.1,1,2.1,3.7,10.9,9.9,14.9,21.3,10.6,21.6,0.9,0
Bangladesh,3.3,1.1,7.5,10.5,34.9,9.3,8.9,10.6,2.9,9.6,1.4,0
Bosnia Herzegovina,7.3,3.3,5.1,8.6,24.3,13.2,13.2,11.6,5.3,7.8,0.2,0
Canada,0.8,1.2,1.4,2.6,6,7.3,14.1,28.6,19.4,18.6,0,0.1
Chile,1.2,0.8,4,5.3,12.5,13,16.4,18.5,8.5,19.2,0.6,0
China,3.4,4.9,5.9,4.5,13.4,14.1,13.1,17.4,8.3,14.1,0,0.9
India,6,0,22.7,0,42.7,0,18.1,0,0,9.4,1.1,0
Indonesia,2.9,0.8,2,2.9,12.2,17,20.8,19.2,7.5,13.7,1,0
Iran,3.9,3.2,6.2,8.3,14.5,11.5,15.2,15.8,9.6,10.9,0.5,0.6
Iraq,9.1,5.4,11,9.6,21.5,12.6,11.9,10.4,3.7,4.9,0,0
Israel,2.3,1.8,3.4,4.3,12.5,10.1,17.3,22.4,11.8,13.5,0.6,0.2
Japan,1.6,2.1,4.8,6,12.9,17.9,16.1,24,6.7,4.6,3.4,0
Jordan,8.6,4.7,6.2,7.6,24.7,10.5,13.5,9,4.4,10.1,0.6,0.1
South Korea,4.5,2.1,6.1,7.8,16.8,14.2,15.8,13.5,8.3,8.7,2.2,0
Kyrgyzstan,6.3,2.1,6.1,6.5,12.8,13.6,12,15.1,11.4,14,0,0
Mexico,3.9,0.8,1.6,1.5,7.8,4.5,7.7,14.9,11.5,43.6,2.3,0
Moldova,13.1,7,10.6,15.6,20.6,11.8,7.1,6,2.3,3.1,2.9,0
Morocco,5.4,3.4,6.9,7.5,32.1,10.5,8.8,6.7,4.3,14.3,0,0
Nigeria,2.7,3.4,4.9,5.3,8.6,11.3,17.4,20.3,13.8,12.2,0,0
Pakistan,0.9,4.8,11.6,7.8,35.9,15.5,4.2,3.6,0.4,0,15.4,0
Peru,4.1,2.2,4.7,7.2,18.7,12.7,14.5,14.7,5.9,14.7,0.7,0
Philippines,5.2,2.9,3.2,5.5,16.3,13.6,11.4,14.3,9.6,18.2,0,0
Puerto Rico,1.5,0.7,0.6,1.1,5.7,4.9,7.8,17.9,13.1,46.4,0.1,0.3
Saudi Arabia,2.2,1.4,2.7,4.5,11.8,12.3,13.7,14.6,15.2,21,0.5,0
Singapore,0.6,0.6,2.5,3.7,9.7,12.3,22.7,30.7,9.8,7.4,0,0
Viet Nam,1.5,1,2.6,5.5,25.3,19.5,12.8,11.7,6.5,12.8,0.8,0
South Africa,7.9,5.9,8.3,8.5,18.7,8.7,12.5,10.2,5.2,14.1,0.1,0
Zimbabwe,29.5,11,8.4,7.8,17.9,7.3,5.3,4.9,2.1,5.7,0.3,0
Spain,0.8,0.7,2.3,2.8,13.9,15.7,23.9,20.5,8.9,10.2,0.3,0
Sweden,0.5,0.8,2.2,3.9,6.2,6.8,16.5,30,16.6,16.3,0.3,0
Turkey,10.3,3.2,6,8.6,20.7,10.9,10.5,11.1,5.6,13,0,0
Uganda,8.4,4.9,5.5,8.3,24.8,12.2,10.9,11.8,6,7.2,0,0
Macedonia,14.4,5.2,9.1,10.1,21,9.1,10.2,6.8,4.8,8.9,0.3,0
Egypt,2.3,42.8,2.4,2.2,0,6.7,0,0,43.3,0.1,0.1,0
Tanzania,39.7,7.4,7.6,5,14.8,2.6,2.7,2.7,1.9,13.3,1.1,1.1
United States,0.9,0.5,1.9,2.6,7.1,8.3,18.3,25.2,19.3,15.9,0,0
Venezuela,3.8,2.1,2.2,4.1,9.3,8.4,10.5,16.1,13,30.3,0.2,0
Serbia,7.2,5.2,8.9,7.9,21.6,9,13.4,13.4,7,5.6,0.8,0
Montenegro,6.3,4.2,10.8,7.9,14.2,13.3,18.1,11.7,4.8,5.1,3.5,0
