Country,Completely dissatisfied,2,3,4,5,6,7,8,9,Completely satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,3,2.1,3.8,5.1,12.7,11.7,17.3,20.1,10.2,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,5.7,0.8,4.8,7.7,19.6,12.1,14.6,12.6,7.4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,4.3,2.4,2.6,4.8,13.8,12.4,19.3,19.5,12.4,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0.4,0.4,1.1,3,6,11.1,22.4,30.2,13.9,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,1,2.3,3.8,4.8,8.4,7.2,16.6,29.2,16,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,0.7,0.9,1.8,6.9,8.2,16,31.3,22.3,8.9,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,10.7,7.1,8.4,6.4,26.5,9.4,9.6,11.3,3.7,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,1.8,1.4,1.5,2.2,10.5,6.9,11.5,19.2,11.3,33.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,2.6,4,9.8,9.6,19.9,14.2,16.8,14.1,5,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,0.6,0.9,2.1,4.1,8,12.6,21,26.1,12.3,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,1.1,1.8,3.3,5.9,11.8,13.1,18.3,24.7,10.3,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taiwan,2.5,1.1,3.4,2.2,14.1,14.6,17.6,23.8,7.9,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,0.5,0.4,1.1,1.7,5.2,4.4,10.3,22.7,16.3,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,1.8,1.1,2.5,3.6,11.4,12,18,22.4,13.9,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,0.8,0.2,1.1,1.5,6.6,7.7,14.7,26.3,21.9,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,1.8,3,6.5,8.2,15.8,14.5,18.4,19.3,8.2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,7.1,5.1,10.1,9.7,25,8,13.3,10.4,3.5,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palestine,9.3,5.5,5.7,6.8,18,16.4,14.5,11.9,4.3,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,0.9,1.8,3,3.6,8,6.9,18,30.2,15.3,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,4,4.9,7.6,9.2,12.2,12.2,16.7,17.3,8.2,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,1.5,1,1.9,4.2,14.3,13.9,23.8,23.7,8.2,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,3.1,2.5,3.8,8.2,14.3,15.8,17.3,13.6,8.7,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,1.9,4.8,9.8,10.7,12.2,15.8,20.5,11.8,7.5,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
